temporal,date,id,mean_lst,distance,direction,area,use,temp_id,date_id,gradient_id,buffer_id,delta_T,delta_T_base,mean_lst_base
day,2022-12-03,142,37.29373357,11,195,546.956662613,prediction,1,1,1_1_195,1_195_11,0.18284412999999944,0.24849573999999564,36.30664759
day,2022-12-03,157,36.22552894,12,195,601.546952442,prediction,1,1,1_1_195,1_195_12,-1.0682046300000039,-1.0858516300000005,35.22079596
day,2022-12-03,168,36.41666334,13,195,653.857004574,prediction,1,1,1_1_195,1_195_13,0.1911344000000028,0.3772303100000016,35.59802627
day,2022-12-03,182,34.35245947,14,195,707.223320408,prediction,1,1,1_1_195,1_195_14,-2.06420387,-2.4084808399999957,33.18954543
day,2022-12-03,191,26.45399419,15,195,758.634128682,prediction,1,1,1_1_195,1_195_15,-7.89846528,-6.774079230000002,26.4154662
day,2022-12-03,202,24.54240346,16,195,810.955736004,prediction,1,1,1_1_195,1_195_16,-1.9115907300000003,-1.407516730000001,25.00794947
day,2022-12-03,209,21.89998369,17,195,864.320131185,prediction,1,1,1_1_195,1_195_17,-2.64241977,-2.63470113,22.37324834
day,2022-12-03,224,21.36942704,18,195,915.725934618,prediction,1,1,1_1_195,1_195_18,-0.5305566499999976,-0.6600443600000006,21.71320398
day,2022-12-03,235,21.20550119,19,195,968.055546242,prediction,1,1,1_1_195,1_195_19,-0.16392585000000182,-0.1873788300000001,21.52582515
day,2022-12-03,246,21.2641022,20,195,1020.38537183,prediction,1,1,1_1_195,1_195_20,0.058601010000000286,0.04776998999999904,21.57359514
day,2022-12-03,258,22.02654815,21,195,1074.19059563,prediction,1,1,1_1_195,1_195_21,0.76244595,0.4370782800000015,22.01067342
day,2022-12-03,268,26.57190483,22,195,1125.18958872,prediction,1,1,1_1_195,1_195_22,4.545356680000001,4.170332370000001,26.18100579
